family,n,rep,gain,wins
strong,2,62,0.049885093062752794,4
strong,2,63,0.14257672308416536,0
strong,2,64,0.10451437955146636,1
strong,2,65,0.7236293538214101,0
strong,2,66,0.15807519710808726,0
strong,2,67,0.4256262591574296,0
strong,2,68,0.13286302070035716,0
strong,2,69,1.156611602100023,0
strong,2,70,0.4659338639392461,0
strong,2,71,0.11321199599730414,1
strong,2,72,0.07322168459258149,1
strong,2,73,0.4647113562943893,0
strong,2,74,1.602186925169112,0
strong,2,75,0.6966322943293557,0
strong,2,76,0.1634434443546,1
strong,2,77,0.08328670297753693,1
strong,2,78,0.24425105799646885,0
strong,2,79,0.4106826652421032,1
strong,2,80,0.6404238063396219,0
strong,2,81,0.10442460136715648,3
strong,2,82,0.12488647953625209,0
strong,2,83,0.1443970556124642,0
strong,2,84,0.6509994977950282,0
strong,2,85,0.1538648329673571,1
strong,2,86,0.4746662150264356,0
strong,2,87,0.6140267351484912,0
strong,2,88,0.06930144951984607,3
strong,2,89,0.12013151293121604,0
strong,2,90,0.39842181118143927,1
strong,2,91,0.6418588014977956,1
strong,2,92,0.12688193779299828,2
strong,2,93,0.044813757419033595,2
strong,2,94,0.1495655938808036,1
strong,2,95,0.49933280769512767,0
strong,2,96,0.06489726766460924,3
strong,2,97,0.147050639887357,2
strong,2,98,0.5293866739727984,1
strong,2,99,0.0656468016008932,3
strong,3,0,0.3367497720394421,0
strong,3,1,0.2560164226146838,0
strong,3,2,0.09452137900463697,2
strong,3,3,0.2619066540155752,1
strong,3,4,0.18252574168339364,0
strong,3,5,0.2834594800772794,0
strong,3,6,0.3782666935866439,0
strong,3,7,-0.022360691073660455,4
strong,3,8,0.15751251411493183,0
strong,3,9,0.16090734967249132,0
strong,3,10,0.27326345032873944,0
strong,3,11,0.1196884369271608,2
strong,3,12,0.09294228703463803,1
strong,3,13,0.6509550984954814,1
strong,3,14,0.2033393753925571,1
strong,3,15,0.38124225459423766,1
strong,3,16,0.1441667608307755,2
strong,3,17,0.08133172956873613,1
strong,3,18,0.21205191259349176,0
strong,3,19,0.5447777562994378,0
strong,3,20,-0.012036753917002652,3
strong,3,21,0.14171555784471923,0
strong,3,22,0.05169527391833839,2
strong,3,23,0.15577273947506032,2
strong,3,24,-0.009994871609380729,5
strong,3,25,0.1878434610642863,0
strong,3,26,0.23048606422169982,1
strong,3,27,0.7162492829589612,0
strong,3,28,0.39015671189400636,1
strong,3,29,0.1561718584764239,2
strong,3,30,0.09424182215829213,1
strong,3,31,0.2650194834286196,2
strong,3,32,0.18307338791775296,1
strong,3,33,0.367013407887848,0
strong,3,34,0.11612453238919807,1
strong,3,35,0.1553254716904373,0
strong,3,36,0.13361182087019086,2
strong,3,37,0.25361887463046706,2
strong,3,38,0.11581801540931547,0
strong,3,39,0.08059209249307386,2
strong,3,40,0.0877797884487993,2
strong,3,41,0.12157993330678141,0
strong,3,42,0.18355954146378972,0
strong,3,43,0.21335229901169406,0
strong,3,44,0.2649060023752825,1
strong,3,45,0.05981186483765066,2
strong,3,46,0.3630153895257364,2
strong,3,47,0.19204771838624912,1
strong,3,48,0.1813553539846633,1
